"factId","metricId","metricName","scopeType","scopeName","month","value","unit","numerator","denominator","formula","quality","alert","inputs","sources"
"F0045","labor_cost","人工成本","部门","连锁部","3月","254.51","万元","null","null","人工成本明细“人工成本”字段合计 ÷ 10,000","已核对","null","[{""name"":""人工成本（元）"",""value"":2545100,""unit"":""元""}]","[{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人工成本""],""filter"":""业务口径部门=连锁部；月份=3月"",""matchedRows"":278}]"
"F0046","fee_rate","费率/总成本率","部门","连锁部","4月","22.92","%","305.85","1334.34","总成本 ÷ 实际销额 × 100%","已核对","{""level"":""warning"",""label"":""关注"",""message"":""费率≥20%，进入关注区间""}","[{""name"":""部门总成本"",""value"":305.85,""unit"":""万元""},{""name"":""部门实际销额"",""value"":1334.34,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]}]"
"F0047","human_efficiency","人效","部门","连锁部","4月","5.25","万元/人","1334.34","254","实际销额 ÷ 当月发薪人数","已核对","null","[{""name"":""部门实际销额"",""value"":1334.34,""unit"":""万元""},{""name"":""部门发薪人数"",""value"":254,""unit"":""人""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]},{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人数""],""filter"":""部门=连锁部；月份=4月"",""matchedRows"":254}]"
"F0048","labor_cost","人工成本","部门","连锁部","4月","168.67","万元","null","null","人工成本明细“人工成本”字段合计 ÷ 10,000","已核对","null","[{""name"":""人工成本（元）"",""value"":1686700,""unit"":""元""}]","[{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人工成本""],""filter"":""业务口径部门=连锁部；月份=4月"",""matchedRows"":254}]"
"F0049","fee_rate","费率/总成本率","部门","连锁部","5月","27.01","%","370.05","1370.03","总成本 ÷ 实际销额 × 100%","已核对","{""level"":""warning"",""label"":""关注"",""message"":""费率≥20%，进入关注区间""}","[{""name"":""部门总成本"",""value"":370.05,""unit"":""万元""},{""name"":""部门实际销额"",""value"":1370.03,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]}]"
"F0050","human_efficiency","人效","部门","连锁部","5月","5.42","万元/人","1370.03","253","实际销额 ÷ 当月发薪人数","已核对","null","[{""name"":""部门实际销额"",""value"":1370.03,""unit"":""万元""},{""name"":""部门发薪人数"",""value"":253,""unit"":""人""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]},{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人数""],""filter"":""部门=连锁部；月份=5月"",""matchedRows"":253}]"
"F0051","labor_cost","人工成本","部门","连锁部","5月","226.52","万元","null","null","人工成本明细“人工成本”字段合计 ÷ 10,000","已核对","null","[{""name"":""人工成本（元）"",""value"":2265200,""unit"":""元""}]","[{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人工成本""],""filter"":""业务口径部门=连锁部；月份=5月"",""matchedRows"":253}]"
"F0052","fee_rate","费率/总成本率","部门","连锁部","6月","10.93","%","163.16","1493.33","总成本 ÷ 实际销额 × 100%","已核对","{""level"":""normal"",""label"":""正常"",""message"":""费率低于20%暂定阈值""}","[{""name"":""部门总成本"",""value"":163.16,""unit"":""万元""},{""name"":""部门实际销额"",""value"":1493.33,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]}]"
"F0053","human_efficiency","人效","部门","连锁部","6月","6.46","万元/人","1493.33","231","实际销额 ÷ 当月发薪人数","已核对","null","[{""name"":""部门实际销额"",""value"":1493.33,""unit"":""万元""},{""name"":""部门发薪人数"",""value"":231,""unit"":""人""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]},{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人数""],""filter"":""部门=连锁部；月份=6月"",""matchedRows"":231}]"
"F0054","labor_cost","人工成本","部门","连锁部","6月","158.24","万元","null","null","人工成本明细“人工成本”字段合计 ÷ 10,000","已核对","null","[{""name"":""人工成本（元）"",""value"":1582400,""unit"":""元""}]","[{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人工成本""],""filter"":""业务口径部门=连锁部；月份=6月"",""matchedRows"":231}]"
